timestamp,test_id,nnodes,tasks_per_node,collective_type,mpi_lib,mpi_lib_version,libswing_version,CUDA,output_level,MPI_Op,notes
2025_02_28___22_29_03,1,4,1,ALLGATHER,CRAY_MPICH,8.1.29,1.0.0,false,all,null,null
2025_02_28___22_29_35,3,16,1,REDUCE_SCATTER,CRAY_MPICH,8.1.29,1.0.0,false,all,MPI_SUM,null
2025_02_28___22_29_17,3,8,1,REDUCE_SCATTER,CRAY_MPICH,8.1.29,1.0.0,false,all,MPI_SUM,null
2025_02_28___22_29_03,2,4,1,BCAST,CRAY_MPICH,8.1.29,1.0.0,false,all,null,null
2025_02_28___22_29_03,3,4,1,REDUCE_SCATTER,CRAY_MPICH,8.1.29,1.0.0,false,all,MPI_SUM,null
2025_02_28___21_37_22,0,512,1,ALLREDUCE,CRAY_MPICH,8.1.29,1.0.0,false,all,MPI_SUM,Swing Bdw crashed
2025_02_28___21_37_35,0,512,1,ALLREDUCE,CRAY_MPICH,8.1.29,1.0.0,false,all,MPI_SUM,Swing Bdw crashed
2025_02_28___21_37_58,0,512,1,ALLREDUCE,CRAY_MPICH,8.1.29,1.0.0,false,all,MPI_SUM,Swing Bdw crashed
2025_02_28___21_56_27,0,512,1,ALLREDUCE,CRAY_MPICH,8.1.29,1.0.0,false,all,MPI_SUM,Swing Bdw crashed
2025_03_16___14_58_59,0,16,1,ALLREDUCE,CRAY_MPICH,8.1.29,1.0.0,false,summarized,MPI_SUM,null
2025_03_16___15_34_44,0,32,1,ALLREDUCE,CRAY_MPICH,8.1.29,1.0.0,false,summarized,MPI_SUM,null
2025_03_27___19_15_25,0,16,1,ALLREDUCE,CRAY_MPICH,8.1.29,1.0.0,false,summarized,MPI_SUM,null
2025_03_27___19_15_25,1,16,1,ALLGATHER,CRAY_MPICH,8.1.29,1.0.0,false,summarized,null,null
2025_03_28___00_20_34,0,37,56,ALLREDUCE,CRAY_MPICH,8.1.29,1.0.0,false,summarized,MPI_SUM,Test 2048 tasks on lumi
2025_03_28___00_20_34,1,37,56,ALLGATHER,CRAY_MPICH,8.1.29,1.0.0,false,summarized,null,Test 2048 tasks on lumi
