MPI_Rank,allocation
202,lrdn2173.leonardo.local
203,lrdn2182.leonardo.local
204,lrdn2204.leonardo.local
205,lrdn2224.leonardo.local
206,lrdn2240.leonardo.local
207,lrdn2315.leonardo.local
208,lrdn2328.leonardo.local
209,lrdn2374.leonardo.local
210,lrdn2431.leonardo.local
211,lrdn2450.leonardo.local
212,lrdn2458.leonardo.local
213,lrdn2459.leonardo.local
214,lrdn2462.leonardo.local
215,lrdn2466.leonardo.local
216,lrdn2469.leonardo.local
217,lrdn2481.leonardo.local
218,lrdn2499.leonardo.local
219,lrdn2512.leonardo.local
220,lrdn2521.leonardo.local
221,lrdn2526.leonardo.local
222,lrdn2581.leonardo.local
223,lrdn2597.leonardo.local
224,lrdn2625.leonardo.local
225,lrdn2672.leonardo.local
226,lrdn2673.leonardo.local
227,lrdn2681.leonardo.local
228,lrdn2687.leonardo.local
229,lrdn2769.leonardo.local
230,lrdn2778.leonardo.local
231,lrdn2805.leonardo.local
232,lrdn2811.leonardo.local
233,lrdn2842.leonardo.local
234,lrdn2852.leonardo.local
235,lrdn2874.leonardo.local
236,lrdn2896.leonardo.local
237,lrdn2973.leonardo.local
238,lrdn3004.leonardo.local
239,lrdn3023.leonardo.local
240,lrdn3114.leonardo.local
241,lrdn3194.leonardo.local
242,lrdn3259.leonardo.local
243,lrdn3271.leonardo.local
244,lrdn3282.leonardo.local
245,lrdn3289.leonardo.local
246,lrdn3291.leonardo.local
247,lrdn3293.leonardo.local
248,lrdn3304.leonardo.local
249,lrdn3311.leonardo.local
250,lrdn3316.leonardo.local
251,lrdn3322.leonardo.local
252,lrdn3345.leonardo.local
253,lrdn3359.leonardo.local
254,lrdn3399.leonardo.local
255,lrdn3401.leonardo.local
